iter	RMSE
0	0.3885947437
1	0.377433626
2	0.367226943
3	0.3571996495
4	0.3481704598
5	0.3385669468
6	0.3296456885
7	0.3213121011
8	0.3137590287
9	0.3062429391
10	0.29915236
11	0.2919840743
12	0.2848804799
13	0.2780874747
14	0.2717314996
15	0.2655434015
16	0.2597461543
17	0.2541133829
18	0.2486837769
19	0.2437217775
20	0.2385599642
21	0.2340588144
22	0.2297261702
23	0.2252589528
24	0.2212935051
25	0.217640654
26	0.2139802586
27	0.210357637
28	0.2066390848
29	0.202986687
30	0.1997402634
31	0.19631876
32	0.1934940794
33	0.1904235121
34	0.1875958675
35	0.1848283526
36	0.1823171786
37	0.1795844694
38	0.1773813258
39	0.1751773143
40	0.1730563916
41	0.1707152855
42	0.1685740485
43	0.1667507504
44	0.1646559193
45	0.1626001166
46	0.1608449674
47	0.1591860223
48	0.1577255915
49	0.1559163865
50	0.1544117777
51	0.1527770145
52	0.1511023836
53	0.1497439389
54	0.1484514017
55	0.1471016905
56	0.1458860489
57	0.1445621241
58	0.1435450993
59	0.1421937195
60	0.1411759306
61	0.1400361418
62	0.1391781442
63	0.1381411282
64	0.1373952078
65	0.1363643924
66	0.135466019
67	0.1344827726
68	0.1334625104
69	0.1325959694
70	0.1317868975
71	0.1310502845
72	0.1304593888
73	0.1297444877
74	0.128922486
75	0.1281655458
76	0.1274913007
77	0.1270006695
78	0.1264351748
79	0.1257995647
80	0.1252436868
81	0.1245927963
82	0.1239135403
83	0.123306193
84	0.1225846067
85	0.1220849828
86	0.121454523
87	0.1210419274
88	0.1205887156
89	0.1200650106
90	0.1196825168
91	0.1192117359
92	0.1187155913
93	0.1181183114
94	0.1175128079
95	0.1169667083
96	0.1165455932
97	0.1160068609
98	0.1156256459
99	0.1152263571
100	0.1147278132
101	0.114213616
102	0.1137817244
103	0.1134528717
104	0.1131244327
105	0.1126578489
106	0.1122096954
107	0.1117142011
108	0.1113688499
109	0.1110486582
110	0.1106965879
111	0.1103058127
112	0.1097790795
113	0.1094254301
114	0.1090742322
115	0.1088026244
116	0.1085213512
117	0.1082451007
118	0.1079278241
119	0.1077176627
120	0.10755556
121	0.1073276139
122	0.1069216588
123	0.1065891611
124	0.1061971532
125	0.1058946685
126	0.1055732125
127	0.1054230983
128	0.1051582485
129	0.1048935887
130	0.1046346377
131	0.104393675
132	0.1040916664
133	0.1039370708
134	0.1037407437
135	0.1035520858
136	0.1032251666
137	0.1029041849
138	0.1028179167
139	0.1026845081
140	0.1023813876
141	0.1020865617
142	0.1019289671
143	0.1016112817
144	0.1015724893
145	0.1013231022
146	0.1011590544
147	0.1009546356
148	0.1007688415
149	0.1004723798
150	0.1002610766
151	0.1000142445
152	0.0998693322
153	0.09960149252
154	0.09940811651
155	0.09926140415
156	0.09904944705
157	0.09875998341
158	0.09862374704
159	0.09831691258
160	0.09818045726
161	0.09790651127
162	0.09769534529
163	0.09743196996
164	0.09730233643
165	0.09719596773
166	0.09707939456
167	0.09688954109
168	0.09664469185
169	0.09652719146
170	0.09628168451
171	0.09606384214
172	0.09588575326
173	0.09574563345
174	0.09555672114
175	0.09548081403
176	0.09526999615
177	0.0949744873
178	0.09488282726
179	0.09476069033
180	0.09457606705
181	0.09431411224
182	0.0940760026
183	0.09382678846
184	0.09364762549
185	0.09346967717
186	0.09332349963
187	0.09309562872
188	0.09289720924
189	0.09259203714
190	0.09240464365
191	0.09218889189
192	0.0920089898
193	0.09176255745
194	0.09150578372
195	0.09136621381
196	0.09121662619
197	0.09116366861
198	0.09090592705
199	0.09062577387
200	0.09041488247
201	0.09021527147
202	0.09008049893
203	0.09000924668
204	0.08971717101
205	0.08942652214
206	0.08934281056
207	0.08910765885
208	0.08904224749
209	0.0888748604
210	0.0886469996
211	0.0884520361
212	0.08824468418
213	0.08798621836
214	0.08787251207
215	0.08762912203
216	0.08742540069
217	0.08715209043
218	0.08700018679
219	0.08695002083
220	0.08685679612
221	0.08671559183
222	0.08666959088
223	0.08647535254
224	0.08626114807
225	0.08601145077
226	0.08579851605
227	0.08563107633
228	0.0853422468
229	0.08526251894
230	0.08515081662
231	0.0849677232
232	0.08488195359
233	0.08476514597
234	0.08458456097
235	0.08432658084
236	0.08419699366
237	0.08414988505
238	0.08410918759
239	0.08388656568
240	0.08384573289
241	0.08376169387
242	0.0835692363
243	0.0833921983
244	0.08327694237
245	0.08324104995
246	0.08300653355
247	0.08277564804
248	0.08253631327
249	0.08231324786
250	0.0821240568
251	0.0819515473
252	0.08178709907
253	0.08162947949
254	0.08145189514
255	0.08128413444
256	0.08112358724
257	0.08098605824
258	0.08084771777
259	0.08068242557
260	0.08057954867
261	0.08053565839
262	0.08042850959
263	0.08029247325
264	0.08016401751
265	0.08006091607
266	0.07993919321
267	0.07976423
268	0.07962450564
269	0.07950208491
