iter	Passed	Remaining
508	1746	1685
509	1750	1681
510	1753	1678
511	1756	1674
512	1760	1671
513	1763	1667
514	1766	1663
515	1769	1660
516	1772	1655
517	1775	1651
518	1778	1648
519	1780	1643
520	1784	1640
521	1787	1637
522	1790	1633
523	1793	1629
524	1796	1625
525	1800	1622
526	1803	1618
527	1806	1614
528	1810	1611
529	1813	1607
530	1816	1604
531	1819	1600
532	1821	1596
533	1824	1592
534	1827	1588
535	1830	1584
536	1833	1581
537	1838	1578
538	1841	1574
539	1844	1570
540	1846	1567
541	1850	1563
542	1853	1559
543	1855	1555
544	1858	1551
545	1861	1547
546	1865	1544
547	1868	1541
548	1872	1538
549	1875	1534
550	1878	1530
551	1881	1527
552	1884	1523
553	1887	1519
554	1890	1516
555	1893	1512
556	1897	1508
557	1900	1505
558	1902	1501
559	1905	1497
560	1908	1493
561	1913	1491
562	1916	1487
563	1920	1484
564	1923	1481
565	1928	1478
566	1931	1474
567	1934	1471
568	1936	1467
569	1939	1463
570	1943	1460
571	1946	1456
572	1949	1452
573	1952	1449
574	1955	1445
575	1959	1442
576	1962	1438
577	1965	1435
578	1968	1431
579	1972	1428
580	1975	1424
581	1978	1421
582	1981	1417
583	1984	1413
584	1988	1410
585	1992	1407
586	1996	1404
587	1999	1401
588	2002	1397
589	2005	1393
590	2009	1390
591	2012	1386
592	2014	1382
593	2018	1379
594	2021	1375
595	2025	1373
596	2028	1369
597	2031	1365
598	2034	1362
599	2037	1358
600	2041	1355
601	2043	1351
602	2046	1347
603	2049	1343
604	2052	1340
605	2056	1337
606	2059	1333
607	2062	1329
608	2065	1326
609	2069	1322
610	2072	1319
611	2075	1316
612	2079	1312
613	2082	1309
614	2085	1305
615	2089	1302
616	2092	1298
617	2095	1295
618	2098	1291
619	2101	1287
620	2104	1284
621	2107	1280
622	2112	1278
623	2115	1274
624	2118	1271
625	2122	1267
626	2126	1265
627	2130	1261
628	2133	1258
629	2135	1254
630	2138	1250
631	2142	1247
632	2145	1243
633	2148	1240
634	2151	1236
635	2154	1233
636	2158	1229
637	2161	1226
638	2164	1222
639	2167	1219
640	2170	1215
641	2173	1212
642	2176	1208
643	2179	1204
644	2182	1201
645	2186	1198
646	2189	1194
647	2192	1190
648	2195	1187
649	2198	1183
650	2202	1180
651	2206	1177
652	2210	1174
653	2215	1172
654	2219	1169
655	2222	1165
656	2225	1162
657	2228	1158
658	2231	1154
659	2235	1151
660	2237	1147
661	2241	1144
662	2244	1140
663	2249	1138
664	2252	1134
665	2256	1131
666	2260	1128
667	2264	1125
668	2267	1122
669	2271	1118
670	2274	1115
671	2278	1112
672	2282	1109
673	2285	1105
674	2288	1101
675	2291	1098
676	2295	1095
677	2298	1091
678	2300	1087
679	2303	1084
680	2307	1080
681	2312	1078
682	2315	1074
683	2318	1070
684	2321	1067
685	2325	1064
686	2329	1061
687	2332	1057
688	2335	1054
689	2339	1051
690	2343	1048
691	2347	1044
692	2350	1041
693	2354	1038
694	2359	1035
695	2361	1031
696	2365	1028
697	2370	1025
698	2374	1022
699	2378	1019
700	2382	1016
701	2386	1012
702	2391	1010
703	2394	1006
704	2411	1008
705	2414	1005
706	2416	1001
707	2419	997
708	2422	994
709	2424	990
710	2428	986
711	2431	983
712	2433	979
713	2436	976
714	2439	972
715	2443	969
716	2446	965
717	2448	961
718	2451	957
719	2454	954
720	2457	951
721	2460	947
722	2464	944
723	2467	940
724	2471	937
725	2473	933
726	2476	929
727	2478	926
728	2481	922
729	2484	918
730	2487	915
731	2491	912
732	2494	908
733	2497	905
734	2501	901
735	2504	898
736	2507	894
737	2510	891
738	2513	887
739	2517	884
740	2521	881
741	2524	877
742	2528	874
743	2533	871
744	2536	868
745	2538	864
746	2541	860
747	2544	857
748	2546	853
749	2551	850
750	2554	846
751	2556	843
752	2559	839
753	2561	835
754	2565	832
755	2567	828
756	2570	825
757	2572	821
758	2575	817
759	2578	814
760	2581	810
761	2584	807
762	2586	803
763	2589	799
764	2591	796
765	2594	792
766	2597	789
767	2600	785
768	2602	781
769	2605	778
770	2607	774
771	2610	770
772	2613	767
773	2616	764
774	2619	760
775	2621	756
776	2624	753
777	2627	749
778	2630	746
779	2632	742
780	2635	738
781	2638	735
782	2641	731
783	2644	728
784	2647	725
785	2650	721
786	2653	718
787	2656	714
788	2659	711
789	2662	707
790	2665	704
791	2668	700
792	2670	697
793	2673	693
794	2676	690
795	2679	686
796	2681	683
797	2684	679
798	2687	675
799	2689	672
800	2692	668
801	2695	665
802	2699	662
803	2702	658
804	2705	655
805	2708	651
806	2710	648
807	2713	644
808	2716	641
809	2718	637
810	2721	634
811	2724	630
812	2727	627
813	2730	623
814	2732	620
815	2735	616
816	2737	613
817	2740	609
818	2743	606
819	2746	602
820	2748	599
821	2751	595
822	2753	592
823	2757	589
824	2760	585
825	2762	582
826	2765	578
827	2768	575
828	2772	571
829	2789	571
830	2792	567
831	2794	564
832	2796	560
833	2799	557
834	2801	553
835	2805	550
836	2807	546
837	2810	543
838	2812	539
839	2815	536
840	2817	532
841	2820	529
842	2823	525
843	2825	522
844	2828	518
845	2831	515
846	2834	512
847	2838	508
848	2840	505
849	2843	501
850	2845	498
851	2848	494
852	2852	491
853	2855	488
854	2858	484
855	2860	481
856	2863	477
857	2866	474
858	2869	471
859	2871	467
860	2874	464
861	2877	460
862	2880	457
863	2882	453
864	2886	450
865	2889	447
866	2892	443
867	2895	440
868	2898	436
869	2901	433
870	2904	430
871	2907	426
872	2909	423
873	2912	419
874	2915	416
875	2918	413
876	2921	409
877	2924	406
878	2926	402
879	2929	399
880	2932	396
881	2934	392
882	2937	389
883	2940	385
884	2942	382
885	2945	378
886	2948	375
887	2951	372
888	2954	368
889	2956	365
890	2959	362
891	2961	358
892	2965	355
893	2967	351
894	2970	348
895	2972	345
896	2975	341
897	2977	338
898	2981	334
899	2984	331
900	2987	328
901	2989	324
902	2992	321
903	2995	318
904	2998	314
905	3001	311
906	3003	307
907	3006	304
908	3008	301
909	3012	297
910	3014	294
911	3017	291
912	3020	287
913	3022	284
914	3025	281
915	3029	277
916	3032	274
917	3035	271
918	3037	267
919	3040	264
920	3043	261
921	3046	257
922	3049	254
923	3052	251
924	3055	247
925	3058	244
926	3061	241
927	3064	237
928	3067	234
929	3069	231
930	3072	227
931	3075	224
932	3078	221
933	3080	217
934	3083	214
935	3085	210
936	3089	207
937	3093	204
938	3096	201
939	3099	197
940	3102	194
941	3106	191
942	3109	187
943	3112	184
944	3115	181
945	3119	178
946	3122	174
947	3126	171
948	3129	168
949	3132	164
950	3135	161
951	3138	158
952	3142	154
953	3145	151
954	3147	148
955	3151	145
956	3155	141
957	3157	138
958	3160	135
959	3163	131
960	3167	128
961	3171	125
962	3174	121
963	3177	118
964	3180	115
965	3184	112
966	3188	108
967	3191	105
968	3194	102
969	3199	98
970	3202	95
971	3205	92
972	3209	89
973	3212	85
974	3215	82
975	3219	79
976	3222	75
977	3226	72
978	3229	69
979	3232	65
980	3236	62
981	3240	59
982	3243	56
983	3246	52
984	3249	49
985	3253	46
986	3256	42
987	3259	39
988	3262	36
989	3266	32
990	3270	29
991	3273	26
992	3276	23
993	3279	19
994	3283	16
995	3287	13
996	3289	9
997	3293	6
998	3296	3
999	3300	0
